concept_code,grade_level,topic_category,concept_name_vn,concept_description,mastery_question,common_misconceptions
RAD-G9-11,9,Câu hỏi phụ,"Tìm x để P nguyên (Chặn/Đánh giá)","Sử dụng bất đẳng thức hoặc đánh giá tập giá trị để chặn P trong khoảng (a, b).","Tìm x để P = (2\sqrt{x})/(\sqrt{x} + 3) nhận giá trị nguyên.","1. Không nhận ra miền giá trị của P (VD: 0 <= P < 2). 2. Không lập luận chặt chẽ bước chặn trên/dưới. 3. Thiếu bước thử lại các giá trị nguyên của P để tìm x."
RAD-G8-01,8,Hằng đẳng thức,"Khai triển HĐT bình phương","Sử dụng HĐT (A \pm B)^2 = A^2 \pm 2AB + B^2 (ứng dụng để tạo ra bình phương đúng trong căn).","Khai triển: (\sqrt{x} - 1)^2","1. Thiếu số hạng 2AB ở giữa (VD: ra x - 1). 2. Sai dấu ở số hạng cuối (VD: - 1^2 thành -1 thay vì +1). 3. Nhầm lẫn giữa bình phương của căn và căn của bình phương."
RAD-G8-02,8,Hằng đẳng thức,"Khai triển HĐT hiệu hai bình phương","Sử dụng HĐT A^2 - B^2 = (A-B)(A+B) (nhận diện \sqrt{x} là cơ số).","Phân tích thành nhân tử: x - 4 với x >= 0","1. Không nhận ra x = (\sqrt{x})^2. 2. Phân tích sai thành (x-2)(x+2). 3. Lẫn lộn dấu (A-B)(A-B)."
RAD-G8-03,8,Phân tích đa thức,"Đặt nhân tử chung","Tìm và đặt nhân tử chung cho các hạng tử (đặc biệt khi biến là \sqrt{x}).","Phân tích: x - \sqrt{x}","1. Không thấy nhân tử chung \sqrt{x}. 2. Khi rút hết hạng tử quên ghi lại số 1 (VD: ra \sqrt{x}(\sqrt{x} - 0)). 3. Nhầm lẫn số mũ (x\sqrt{x} rút \sqrt{x} còn \sqrt{x} thay vì x)."
RAD-G8-04,8,Phân tích đa thức,"Phân tích tam thức bậc hai (Tách hạng tử)","Tách hạng tử bậc nhất để đưa về nhóm hạng tử, phân tích đa thức ax + b\sqrt{x} + c.","Phân tích: x - 3\sqrt{x} + 2","1. Bấm máy tính ra nghiệm nhưng không biết ghi lại dạng nhân tử (\sqrt{x}-a). 2. Tách sai dấu hạng tử giữa (-3\sqrt{x} thành -x - 2\sqrt{x}). 3. Nhóm sai nhân tử chung."
RAD-G8-05,8,Phân thức,"Đổi dấu phân thức","Sử dụng tính chất A/(B-A) = -A/(A-B) để làm xuất hiện MTC.","Biến đổi: \sqrt{x}/(1 - x) để cùng mẫu với 1/(x - 1)","1. Đổi dấu mẫu nhưng quên đổi dấu tử (hoặc ngược lại). 2. Đổi dấu thành \sqrt{x}/(-1 - x). 3. Khi đưa dấu trừ lên trước phân thức, quên đóng ngoặc tử số."
RAD-G8-06,8,Phân thức,"Tìm Mẫu thức chung (MTC)","Phân tích các mẫu thành nhân tử và chọn MTC chứa đầy đủ các nhân tử.","Tìm MTC của 1/(\sqrt{x}-1) và 1/(x-1)","1. Chọn MTC bằng cách nhân thẳng 2 mẫu gây cồng kềnh. 2. Không phân tích x-1 thành HĐT trước khi tìm MTC. 3. Xác định thiếu số mũ cao nhất của nhân tử chung."
RAD-G8-07,8,Phân thức,"Quy đồng mẫu thức đại số","Nhân cả tử và mẫu của mỗi phân thức với nhân tử phụ tương ứng.","Quy đồng 1/(\sqrt{x}-1) với MTC là x-1","1. Chỉ nhân nhân tử phụ vào mẫu, quên nhân vào tử số. 2. Xác định sai nhân tử phụ. 3. Nhân sai biểu thức đại số vào tử (quên tính chất phân phối)."
RAD-G8-08,8,Phân thức,"Cộng/Trừ phân thức cùng mẫu","Cộng/Trừ các tử số và giữ nguyên mẫu số chung.","Thực hiện: (x+2)/(x-1) - (3)/(x-1)","1. Sai lầm cực kỳ phổ biến: Không đổi dấu toàn bộ các hạng tử của tử số thứ 2 khi trước phân thức là dấu trừ. 2. Cộng cả tử và mẫu với nhau. 3. Rút gọn các hạng tử ở tử số sai."
RAD-G8-09,8,Phân thức,"Nhân/Chia phân thức","Thực hiện phép nhân tử với tử, mẫu với mẫu. Chia thì nhân nghịch đảo.","Thực hiện: (\sqrt{x}/2) : (x/4)","1. Quên nghịch đảo phân thức thứ 2 khi chia. 2. Nghịch đảo cả 2 phân thức. 3. Nhân chéo (tử 1 nhân mẫu 2) nhưng giữ nguyên phép tính chia."
RAD-G7-01,7,Lũy thừa,"Tính lũy thừa bậc hai","Hiểu và tính bình phương của một số, một tích, một thương.","Tính: (-2\sqrt{x})^2","1. Quên bình phương hệ số (VD: ra -2x). 2. Giữ nguyên dấu trừ khi bình phương (ra -4x). 3. Không biết (\sqrt{x})^2 = x."
RAD-G7-02,7,Căn thức,"Tính chất căn bậc hai số học","Áp dụng hằng đẳng thức \sqrt{A^2} = |A|.","Rút gọn: \sqrt{(x-2)^2}","1. Bỏ qua trị tuyệt đối, luôn ghi là x-2. 2. Đặt trị tuyệt đối sai vị trí. 3. Cho rằng \sqrt{A^2} = \pm A thay vì |A|."
RAD-G7-03,7,Giá trị tuyệt đối,"Bỏ dấu giá trị tuyệt đối","Đánh giá biểu thức bên trong để phá trị tuyệt đối (giữ nguyên nếu >=0, đổi dấu nếu <0).","Bỏ dấu: |1 - \sqrt{3}|","1. Bỏ dấu tùy tiện không kiểm tra tính âm/dương. 2. Đổi dấu sai một nửa (VD: |1-\sqrt{3}| = 1+\sqrt{3}). 3. Không biết cách so sánh 1 và \sqrt{3}."
RAD-G7-04,7,Số hữu tỉ,"Chuyển vế đổi dấu","Thực hiện chuyển các số hạng từ vế này sang vế kia và thay đổi dấu.","Giải: 2x - 3 = 5","1. Chuyển vế nhưng quên đổi dấu. 2. Nhầm lẫn giữa chuyển vế phép cộng/trừ với phép nhân/chia. 3. Chuyển cả hai vế cùng lúc gây rối dấu."
RAD-G6-01,6,Phân số,"Rút gọn phân số/phân thức","Chia cả tử và mẫu cho Ước chung lớn nhất hoặc nhân tử chung.","Rút gọn: 2\sqrt{x} / 4x","1. Chỉ rút gọn một phần của tổng ở tử số (Triệt tiêu sai). 2. Rút gọn sai số mũ của biến. 3. Khi tử số bị rút gọn hết, ghi kết quả là 0 thay vì 1."
RAD-G6-02,6,Số học,"Tìm Bội chung nhỏ nhất (BCNN)","Phân tích ra thừa số nguyên tố để tìm BCNN (nền tảng của MTC).","Tìm BCNN của 4 và 6","1. Lấy luôn tích 4x6=24 làm BCNN. 2. Phân tích sai thừa số nguyên tố. 3. Lấy số mũ nhỏ nhất thay vì số mũ lớn nhất."
RAD-G6-03,6,Phân số,"Quy đồng mẫu số cơ bản","Tạo mẫu số chung cho các phân số bằng số học.","Quy đồng: 1/4 + 1/6","1. Cộng tử với tử, mẫu với mẫu. 2. Nhân chéo không kiểm soát. 3. Không tìm mẫu chung nhỏ nhất khiến tính toán lớn dễ sai."
RAD-G6-04,6,Số học,"Tìm Ước của một số nguyên","Liệt kê tất cả các số nguyên mà số đó chia hết (kể cả ước âm).","Tìm các ước nguyên của 4","1. Bỏ sót các ước số âm (-1, -2, -4). 2. Bỏ sót chính nó hoặc số 1. 3. Nhầm lẫn giữa Ước và Bội."
RAD-G6-05,6,Số học,"Tính chất chia hết","Nhận diện khi nào a chia hết cho b, hoặc khi nào a/b là số nguyên.","Số 6 chia hết cho x-1, x có thể là?","1. Ghi sai ký hiệu chia hết. 2. Không chuyển từ bài toán chia hết sang bài toán Ước số. 3. Nhầm lẫn vai trò của tử và mẫu."
RAD-G6-06,6,Số nguyên,"Quy tắc dấu ngoặc","Bỏ ngoặc có dấu trừ đằng trước thì phải đổi dấu toàn bộ bên trong.","Rút gọn: -(x - 3) + 2x","1. Chỉ đổi dấu hạng tử đầu tiên, giữ nguyên hạng tử sau (-x - 3). 2. Bỏ ngoặc nhưng không bỏ dấu trừ bên ngoài. 3. Áp dụng quy tắc cộng sai khi đổi dấu."
SYS-G9-01,9,Hệ phương trình,"Giải HPT bằng phương pháp thế","Biểu diễn một ẩn theo ẩn kia từ một phương trình và thế vào phương trình còn lại.","Giải HPT: x - 2y = 3 và 2x + y = 6","1. Thế sai biểu thức (VD: x = 3 - 2y thay vì 3 + 2y). 2. Khi thế vào PT 2 quên đóng ngoặc biểu thức. 3. Chỉ tìm được 1 ẩn rồi quên tìm ẩn còn lại."
SYS-G9-02,9,Hệ phương trình,"Giải HPT bằng phương pháp cộng (cơ bản)","Cộng hoặc trừ vế theo vế khi hệ số của một ẩn bằng nhau hoặc đối nhau.","Giải HPT: 2x + y = 5 và 3x - y = 5","1. Hệ số bằng nhau nhưng lại làm phép cộng (thay vì trừ) khiến ẩn không triệt tiêu. 2. Trừ vế theo vế nhưng sai dấu ngoặc ở vế phải. 3. Cộng sai các hằng số tự do."
SYS-G9-03,9,Hệ phương trình,"Giải HPT bằng phương pháp cộng (nhân hệ số)","Nhân cả hai vế của PT với các số thích hợp để tạo hệ số bằng/đối nhau.","Giải HPT: 2x + 3y = 7 và 3x - 2y = 4","1. Chỉ nhân hệ số vào vế trái, quên nhân vào hằng số ở vế phải (Lỗi cực kỳ phổ biến). 2. Nhân sai dấu khi cố tạo hệ số đối. 3. Nhầm lẫn khi chọn bội chung nhỏ nhất để nhân."
SYS-G9-04,9,Hệ phương trình,"Đặt ẩn phụ giải HPT","Nhận diện các cụm biểu thức lặp lại, đặt u, v để đưa về HPT bậc nhất 2 ẩn cơ bản.","Giải HPT: 2/(x-1) + 1/(y+2) = 4 và ...","1. Đặt ẩn phụ nhưng quên đặt ĐKXĐ cho ẩn phụ. 2. Giải ra u, v nhưng quên thế ngược lại để tìm x, y. 3. Nhầm lẫn u = 1/(x-1) thành x-1 = u."
SYS-G9-05,9,Mô hình hóa,"Đặt ĐKXĐ cho ẩn thực tế","Xác định điều kiện vật lý/logic cho ẩn: thời gian, quãng đường > 0; số người, đồ vật phải nguyên dương.","Gọi x là số xe khách ban đầu. Đặt điều kiện cho x.","1. Gọi x là con người/xe cộ nhưng chỉ đặt x > 0 (quên x thuộc N*). 2. Đặt sai điều kiện phần dư (VD: thời gian làm chung là 4h thì thời gian làm riêng phải x > 4). 3. Không đối chiếu kết quả cuối cùng với điều kiện này."
SYS-G9-06,9,Mô hình hóa,"Chuyển ngữ từ khóa sang Đại số","Dịch các cụm từ 'nhiều hơn', 'ít hơn', 'gấp đôi', 'đến sớm hơn' thành phương trình.","'Xe A đến sớm hơn xe B 2 giờ'. Lập PT.","1. Dịch sai logic: A nhiều hơn B là 5 thì viết A + 5 = B (Sai) thay vì A - B = 5. 2. Nhầm lẫn giữa 'tăng thêm x' và 'tăng lên thành x'. 3. 'A đến sớm hơn B' nhưng lại lấy Thời gian A trừ Thời gian B = 2."
SYS-G9-07,9,Mô hình hóa,"Lập PT/HPT Toán Chuyển động","Liên kết S, v, t qua các giai đoạn di chuyển để lập hệ thức.","Lập HPT cho bài toán 2 xe đi ngược chiều gặp nhau.","1. Cộng nhầm vận tốc khi đi cùng chiều. 2. Lập phương trình sai biến số (VD: Phương trình tính thời gian nhưng lại cộng quãng đường). 3. Không để ý đơn vị Vận tốc và Thời gian lệch nhau."
SYS-G9-08,9,Mô hình hóa,"Lập PT/HPT Toán Năng suất (Chung/Riêng)","Sử dụng khái niệm '1 phần x công việc' làm năng suất 1 giờ/ngày để lập PT cộng năng suất.","Hai vòi cùng chảy 4h đầy bể. Lập PT năng suất chung.","1. Cộng trực tiếp thời gian: x + y = 4 (Sai kinh điển). 2. Không hiểu năng suất chung là 1/4. 3. Nghịch đảo sai biểu thức khi lập PT (1/x + 1/y = 4 thay vì 1/4)."
SYS-G9-09,9,Mô hình hóa,"Lập PT/HPT Toán Phần trăm / Cấu tạo số","Xử lý bài toán tăng giảm phần trăm (giá tiền, dân số) hoặc hoán đổi chữ số.","Giá tăng 10% rồi giảm 5%. Biểu diễn biểu thức.","1. Tính phần trăm trên giá ban đầu cho cả 2 lần tăng/giảm thay vì tính trên giá mới (lãi kép). 2. Viết sai cấu tạo số: số ab viết là a+b thay vì 10a+b. 3. Ghi x% nhưng trong tính toán quên chia 100."
SYS-G8-01,8,Phương trình,"Giải phương trình bậc nhất 1 ẩn","Chuyển vế, thu gọn và chia hệ số để giải ax + b = 0.","Giải PT: 3x - 6 = 0","1. Chia ngược hệ số (x = b/a thay vì -b/a). 2. Chuyển vế không đổi dấu. 3. Rối loạn khi hệ số a là phân số."
SYS-G8-02,8,Phương trình,"Khử mẫu trong PT chứa ẩn ở mẫu","Sử dụng Tỉ lệ thức hoặc Quy đồng rồi nhân chéo/bỏ mẫu để đưa về PT bậc nhất/bậc hai.","Giải: (x+1)/x = 3/2","1. Bỏ mẫu nhưng giữ lại ĐKXĐ ở mẫu (không suy ra). 2. Dùng dấu tương đương (<=>) khi bỏ mẫu có chứa ẩn (đúng ra phải dùng dấu suy ra =>). 3. Quy đồng sai nhân tử phụ."
SYS-G8-03,8,Phương trình,"Giải phương trình tích","Biến đổi đa thức về dạng A.B = 0 để chia trường hợp A=0 hoặc B=0.","Giải PT: (x-2)(2x+1) = 0","1. Chia cả hai vế cho ẩn số (Làm mất nghiệm). 2. A.B = 0 suy ra A=0 VÀ B=0 (sai logic, phải là HOẶC). 3. Biến đổi A.B = c rồi cho A=c và B=c."
SYS-G8-04,8,Mô hình hóa,"Lập bảng phân tích Toán Chuyển động","Cấu trúc bảng 3 cột (S, v, t) và các hàng (Đối tượng/Giai đoạn) để ánh xạ dữ kiện.","Lập bảng S, v, t cho Ca nô đi xuôi và ngược dòng.","1. Điền sai cột (VD: Dữ kiện thời gian điền vào cột vận tốc). 2. Không biết cách tính v_xuôi = v_thực + v_nước. 3. Cố gắng điền hết các ô trống mà không dùng ô cuối cùng để lập PT."
SYS-G8-05,8,Mô hình hóa,"Lập bảng phân tích Toán Năng suất","Cấu trúc bảng Khối lượng công việc (CV), Năng suất (NS), Thời gian (t).","Lập bảng NS cho 2 đội công nhân.","1. Nhầm lẫn giữa Tổng sản phẩm (CV) và Số sản phẩm làm trong 1 ngày (NS). 2. Cho rằng công việc hoàn thành có giá trị là 0 thay vì 1. 3. Điền sai biểu thức vào ô Năng suất."
SYS-G8-06,8,Mô hình hóa,"Biểu diễn đại lượng chưa biết qua ẩn","Sử dụng công thức liên hệ để lấp đầy bảng phân tích (VD: t = S/v).","Vận tốc là x, quãng đường 50. Biểu diễn t.","1. Viết ngược công thức (t = v/S). 2. Không nhận ra mối liên hệ phụ thuộc giữa các cột trong bảng. 3. Viết biểu thức quá phức tạp, không thu gọn."
SYS-G7-01,7,Đại số,"Tỉ lệ thức và Tích chéo","Áp dụng tính chất A/B = C/D => A.D = B.C để giải PT hoặc khử mẫu.","Từ x/3 = 5/2, tìm x.","1. Nhân chéo sai cặp (A.B = C.D). 2. Khi nhân đa thức quên bỏ trong ngoặc. 3. Chia sai số dư khi rút x."
SYS-G7-02,7,Đại lượng,"Mối quan hệ Tỉ lệ thuận","Hiểu rằng S tỉ lệ thuận với v khi t không đổi, hoặc S tỉ lệ thuận với t khi v không đổi.","Nếu v tăng gấp đôi, t không đổi, S thay đổi thế nào?","1. Nhầm lẫn với tỉ lệ nghịch. 2. Không ứng dụng được vào bài toán thực tế để kiểm tra tính hợp lý của nghiệm. 3. Thiết lập sai hệ số tỉ lệ."
SYS-G7-03,7,Đại lượng,"Mối quan hệ Tỉ lệ nghịch","Hiểu bản chất v và t tỉ lệ nghịch (v tăng thì t giảm), Năng suất và Thời gian tỉ lệ nghịch.","Nếu vận tốc tăng thì thời gian đi cùng 1 quãng đường sẽ?","1. Nhân chia sai hệ số tỉ lệ. 2. Áp dụng phép cộng/trừ thay vì phép nhân cho hằng số tỉ lệ nghịch. 3. Lập PT sai logic (VD: v tăng thì lấy t_cũ + t_giảm thay vì t_cũ - t_giảm)."
SYS-G6-01,6,Đo lường,"Đổi đơn vị Thời gian (Phút - Giờ)","Chuyển đổi các đơn vị đo lường (đặc biệt là 45 phút = 45/60 giờ = 3/4 giờ).","Đổi 40 phút sang giờ.","1. Đổi sai bản chất thập phân (45 phút = 0.45 giờ thay vì 0.75 giờ - Lỗi cực kỳ nghiêm trọng). 2. Quên rút gọn phân số làm phép tính cồng kềnh. 3. Không đồng nhất đơn vị toàn bài."
SYS-G6-02,6,Số học,"Tỉ số phần trăm","Hiểu và tính x% của một số, ứng dụng lập PT giá tiền, lãi suất, tăng/giảm dân số.","Tính 15% của x.","1. Viết 15x thay vì 0.15x. 2. Cộng trực tiếp % vào số nguyên (x + 15 thay vì x + 0.15x). 3. Không phân biệt được 'bằng 80%' và 'giảm 80%'."
SYS-G6-03,6,Phương trình,"Tìm x cơ bản","Giải các bài toán tìm thành phần chưa biết của phép cộng, trừ, nhân, chia.","Tìm x: 15 - x = 7","1. Lấy 15 + 7 thay vì 15 - 7. 2. Mắc lỗi dấu khi x đứng sau dấu trừ. 3. Rối loạn thứ tự thực hiện phép tính khi có nhiều ngoặc."
SYS-G6-04,6,Số học,"Cấu tạo số trong hệ thập phân","Biểu diễn giá trị của số tự nhiên qua các chữ số để giải toán (ab = 10a + b).","Viết biểu thức cấu tạo số có 2 chữ số xy.","1. Viết xy thành x*y (tích hai số) thay vì 10x + y. 2. Đảo ngược vị trí hàng chục và đơn vị. 3. Quên điều kiện 0 < a <= 9 đối với chữ số hàng cao nhất."
SYS-G6-05,6,Phân số,"Ý nghĩa phân số trong Năng suất","Hiểu 1/x mang ý nghĩa 'lượng công việc làm được trong 1 đơn vị thời gian'.","Làm xong việc trong x ngày. 1 ngày làm được bao nhiêu?","1. Không hiểu tại sao lại lấy 1 chia cho x. 2. Cho rằng x càng lớn thì 1/x càng lớn (lỗi so sánh phân số). 3. Cộng trực tiếp thời gian ở mẫu số (1/x + 1/y = 1/(x+y))."
FUN-G9-01,9,Đồ thị,"Vẽ đồ thị hàm số bậc nhất (Đường thẳng d)","Xác định 2 điểm thuộc đường thẳng y = ax + b (thường là giao điểm với 2 trục) và nối lại.","Vẽ đồ thị hàm số y = 2x - 4","1. Tính sai tọa độ giao điểm với trục hoành/tung. 2. Vẽ đường thẳng không vượt qua 2 điểm đã chấm (chỉ vẽ đoạn thẳng). 3. Không ghi tên đồ thị (d) lên đường vừa vẽ."
FUN-G9-02,9,Đồ thị,"Vẽ đồ thị hàm số bậc hai (Parabol P)","Lập bảng giá trị gồm 5 điểm đối xứng qua trục tung và vẽ đường cong Parabol đi qua gốc tọa độ.","Vẽ đồ thị hàm số y = 1/2 x^2","1. Vẽ đỉnh Parabol bị gãy khúc (như chữ V) thay vì đường cong trơn. 2. Chọn các giá trị x không chẵn làm cho y ra phân số rất khó vẽ. 3. Vẽ nhánh Parabol quặp vào trong thay vì mở rộng ra."
FUN-G9-03,9,Tương giao,"Lập Phương trình hoành độ giao điểm","Cho 2 vế phải của 2 hàm số bằng nhau (f(x) = g(x)) để tìm hoành độ giao điểm x.","Lập PTHĐGĐ của P: y=x^2 và d: y=2x+3","1. Lập phương trình nhưng vẫn để nguyên biến y (VD: y = x^2 - 2x - 3). 2. Chuyển vế sai dấu khi đưa về dạng ax^2 + bx + c = 0. 3. Lập phương trình nhưng thiếu câu dẫn lập luận."
FUN-G9-04,9,Tương giao,"Tìm tọa độ giao điểm của d và P","Giải PTHĐGĐ tìm x, sau đó thay x vào hàm số dễ hơn (thường là d) để tìm y, kết luận (x; y).","Tìm tọa độ giao điểm của y=x^2 và y=x+2","1. Tìm được x nhưng dừng lại, quên tìm y. 2. Thay x vào P bị sai dấu bình phương (VD: x=-1 thì y=-1^2=-1 thay vì 1). 3. Lỗi kinh điển: Kết luận ngược tọa độ (y; x) thay vì (x; y)."
FUN-G9-05,9,Tương giao,"Điều kiện vị trí tương đối của 2 đường thẳng","Sử dụng hệ số góc a và tung độ gốc b để xét d song song, cắt hoặc trùng d'.","Tìm m để d: y=mx+2 song song d': y=2x-1","1. Xét thiếu điều kiện b khác b' khi cho song song (dẫn đến lấy cả nghiệm trùng nhau). 2. Quên điều kiện a khác 0 để là hàm số bậc nhất. 3. Nhầm lẫn giữa cắt nhau (a khác a') và vuông góc (a.a' = -1)."
FUN-G9-06,9,Tương giao,"Điều kiện d cắt P tại 2 điểm phân biệt","Sử dụng Biệt thức Delta của PTHĐGĐ: Delta > 0.","Tìm m để d cắt P tại 2 điểm phân biệt.","1. Giải sai bất phương trình Delta > 0 (đặc biệt khi chia cho số âm). 2. Quên xét hệ số a khác 0 nếu phương trình chứa tham số m ở hệ số bậc 2. 3. Tính sai Delta do nhầm b và b'."
FUN-G9-07,9,Tương giao,"Điều kiện d tiếp xúc P","Sử dụng Biệt thức Delta của PTHĐGĐ: Delta = 0, tìm tọa độ tiếp điểm.","Tìm m để d tiếp xúc với P.","1. Tính ra m nhưng không biết cách tìm lại tọa độ tiếp điểm. 2. Ghi nhầm nghiệm kép x = -b/a thành x = -b/2a. 3. Không lập luận PTHĐGĐ có nghiệm kép."
FUN-G9-08,9,Hàm số,"Tìm tham số m để đồ thị đi qua M(x0; y0)","Thay hoành độ x0 và tung độ y0 vào hàm số để giải phương trình tìm m.","Tìm m để y = (m-1)x + 2 đi qua M(-1; 4)","1. Lỗi trầm trọng: Thay x=4 và y=-1 (Nhầm x thành y và ngược lại). 2. Tính toán sai dấu ngoặc khi nhân x với hệ số (m-1). 3. Không loại m khi vi phạm điều kiện m khác 1."
FUN-G9-09,9,Tọa độ,"Khoảng cách và Tọa độ hình học","Sử dụng định lý Pytago để tính khoảng cách giữa 2 điểm hoặc từ điểm đến gốc O.","Tính khoảng cách từ A(3;4) đến gốc O.","1. Áp dụng sai công thức khoảng cách d = \sqrt{(x_2-x_1)^2 + (y_2-y_1)^2}. 2. Tính độ dài đoạn thẳng ra số âm. 3. Không vẽ phác thảo hình để xác định đường cao/cạnh đáy."
FUN-G8-01,8,Hàm số,"Khái niệm hàm số y = f(x)","Hiểu mối quan hệ 1-1: Mỗi giá trị của x chỉ cho duy nhất một giá trị của y.","Đại lượng y có phải hàm số của x không?","1. Nhầm lẫn x là hàm số của y thay vì y là hàm của x. 2. Một x cho ra 2 giá trị y nhưng vẫn nhận là hàm số. 3. Không hiểu ký hiệu f(x)."
FUN-G8-02,8,Hàm số,"Tính giá trị của hàm số f(x) tại x = a","Thay giá trị x = a vào biểu thức f(x) để thực hiện phép tính tìm y.","Cho f(x) = x^2 - 3. Tính f(-2).","1. Không đóng ngoặc số âm khi bình phương: -2^2 = -4 thay vì (-2)^2 = 4. 2. Tính toán sai thứ tự phép tính. 3. Không hiểu câu lệnh 'Tính f(a)' nghĩa là làm gì."
FUN-G8-03,8,Hàm số,"Kiểm tra điểm thuộc đồ thị hàm số","Tính f(x_M). Nếu kết quả bằng y_M thì điểm M thuộc đồ thị, khác thì không thuộc.","Điểm M(1; 3) có thuộc y = 2x+1 không?","1. Lại thay x=3 và y=1 để kiểm tra. 2. Thay đúng nhưng kết luận sai do tính toán số học hỏng. 3. Nghĩ rằng đồ thị là một mảng diện tích chứ không phải một đường nét."
